s,e,ba,bo,ty
23,28,1,1,1
28,33,1,1,1
35,41,2,1,2
59,64,2,2,2
81,85,1,1,3
106,111,1,2,2
115,119,1,2,2
125,129,1,4,2
134,139,2,1,1
139,143,2,1,2
149,155,1,2,2
165,170,2,1,2
180,185,1,1,2
196,201,1,1,2
206,211,1,1,2
216,219,2,1,3
238,243,1,2,3
270,274,2,2,3
294,299,1,4,1
323,328,1,1,2
335,340,1,1,2
347,354,1,1,3
398,407,2,1,3
422,430,1,1,3
444,450,2,1,2
456,462,2,1,1
495,502,1,4,2
509,513,1,4,3
534,539,1,2,2
545,550,1,2,2
556,561,1,1,2
569,575,2,1,1
576,580,2,1,3
598,605,1,1,1
625,631,1,2,2
637,640,2,2,3
658,665,1,4,2
673,680,1,3,2
690,694,1,4,2
702,707,1,4,2
710,720,1,1,2
741,746,1,3,2
751,755,1,3,2
761,766,1,3,2
797,802,1,1,2
810,815,1,3,1
820,825,1,3,2
834,839,1,3,2
